operatorname;theme;indicator;transportmode;transportsubmode;id_line;name_line;trimester;year;percent_result;occurrence_result;target_reference_contract;penality
RATP;Propreté;Propreté des trains;Métro;Lignes métro classiques;C01372,C01374,C01376,C01377,C01378,C01380,C01381,C01382,C01383;2,4,6,7,8,10,11,12,13;T3;2023;94.3;;90.0;Non
RATP;Propreté;Propreté des trains;Métro;Lignes métro classiques;C01372,C01374,C01376,C01377,C01378,C01380,C01381,C01382,C01383;2,4,6,7,8,10,11,12,13;T4;2023;94.4;;90.0;Non
RATP;Contact voyageurs;Qualité du contact voyageurs en station et en gare;Métro;Lignes métro automatiques;C01371,C01384;1,14;T1;2023;98.9;;98.8;Non
RATP;Contact voyageurs;Qualité du contact voyageurs en station et en gare;Métro;Lignes métro classiques;C01372,C01374,C01376,C01377,C01378,C01380,C01381,C01382,C01383;2,4,6,7,8,10,11,12,13;T3;2023;99.2;;98.8;Non
RATP;Accessibilité;Respect des délais de remise en service des ascenseurs;Métro;Lignes métro automatiques;C01371,C01384;1,14;T1;2023;99.0;;98.5;Non
RATP;Accessibilité;Respect des délais de remise en service des ascenseurs;Métro;Lignes métro automatiques;C01371,C01384;1,14;T2;2023;98.0;;98.5;Non
RATP;Accessibilité;Respect des délais de remise en service des escaliers mécaniques et trottoirs roulants;Métro;Lignes métro automatiques;C01371,C01384;1,14;T2;2023;98.4;;98.5;Non
RATP;Accessibilité;Respect des délais de remise en service des escaliers mécaniques et trottoirs roulants;Métro;Lignes métro modernisées;C01373,C01375,C01379;3,5,9;T4;2023;98.5;;98.5;Non
RATP;Information voyageurs;Information en situation perturbée imprévue à bord;RER;;C01742;A;T2;2023;79.6;;72.7;Non
RATP;Information voyageurs;Information en situation perturbée imprévue à bord;RER;;C01743;B;T2;2023;74.0;;74.5;Non
RATP;Information voyageurs;Information en situation perturbée imprévue en station et à distance;RER;;C01742;A;T2;2023;93.3;;79.0;Non
RATP;Information voyageurs;Information en situation perturbée imprévue en station et à distance;RER;;C01742;A;T3;2023;;;79.0;Non
RATP;Information voyageurs;Information en situation perturbée imprévue en station et à distance;RER;;C01743;B;T2;2023;93.4;;67.0;Non
RATP;Information voyageurs;Information en situation perturbée imprévue en station et à distance;RER;;C01743;B;T4;2023;94.5;;67.0;Non
RATP;Information voyageurs;Information en cas de travaux;RER;;C01743;B;T2;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information dynamique en situation normale à bord;RER;;C01743;B;T2;2023;89.2;;85.5;Non
RATP;Information voyageurs;Information dynamique en situation normale à bord;RER;;C01743;B;T4;2023;94.0;;85.5;Non
RATP;Information voyageurs;Information dynamique en situation normale en station et gare;RER;;C01742;A;T4;2023;99.8;;98.5;Non
RATP;Information voyageurs;Information statique en situation normale à bord;RER;;C01742;A;T4;2023;100.0;;98.0;Non
RATP;Information voyageurs;Information statique en situation normale en station et gare;RER;;C01742;A;T1;2023;99.9;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale en station et gare;RER;;C01742;A;T4;2023;99.8;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale en station et gare;RER;;C01743;B;T1;2023;99.5;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale en station et gare;RER;;C01743;B;T3;2023;99.6;;99.0;Non
RATP;Contact voyageurs;Qualité du contact voyageurs en station et en gare;RER;;C01742;A;T1;2023;99.0;;98.6;Non
RATP;Contact voyageurs;Qualité du contact voyageurs en station et en gare;RER;;C01742;A;T3;2023;99.2;;98.6;Non
RATP;Contact voyageurs;Qualité du contact voyageurs en station et en gare;RER;;C01742;A;T4;2023;98.2;;98.6;Non
RATP;Contact voyageurs;Délai de contact en station/gare;RER;;C01742;A;T4;2023;97.6;;92.0;Oui
RATP;Contact voyageurs;Délai de contact en station/gare;RER;;C01743;B;T3;2023;98.4;;92.0;Oui
RATP;Contact voyageurs;Délai de contact à distance;RER;;C01742;A;T2;2023;97.2;;92.0;Oui
RATP;Contact voyageurs;Délai de contact à distance;RER;;C01743;B;T1;2023;98.0;;92.0;Oui
RATP;Propreté;Propreté des trains;RER;;C01742;A;T3;2023;96.2;;94.5;Non
RATP;Accessibilité;Disponibilité des ascenseurs;RER;;C01743;B;T4;2023;97.4;;99.5;Non
RATP;Accessibilité;Respect des délais de remise en service des ascenseurs;RER;;C01743;B;T1;2023;99.6;;99.0;Non
RATP;Accessibilité;Délai d'information en cas de pannes de plus de 48h des ascenseurs;RER;;C01743;B;T4;2023;;1;;Oui
RATP;Accessibilité;Disponibilité des escaliers mécaniques et trottoirs roulants;RER;;C01742;A;T1;2023;98.2;;98.0;Non
RATP;Accessibilité;Disponibilité des escaliers mécaniques et trottoirs roulants;RER;;C01742;A;T3;2023;98.3;;98.0;Non
RATP;Accessibilité;Disponibilité des escaliers mécaniques et trottoirs roulants;RER;;C01743;B;T4;2023;98.6;;98.0;Non
RATP;Accessibilité;Respect des délais de remise en service des escaliers mécaniques et trottoirs roulants;RER;;C01742;A;T2;2023;99.0;;99.5;Non
RATP;Accessibilité;Respect des délais de remise en service des escaliers mécaniques et trottoirs roulants;RER;;C01743;B;T4;2023;96.5;;99.5;Non
RATP;Accessibilité;Délai d'information en cas de pannes de plus de 48h des escaliers mécaniques et trottoirs roulants;RER;;C01743;B;T3;2023;;;;Oui
RATP;Ventes et Validations;Disponibilité des lignes de péages;RER;;C01742;A;T1;2023;98.0;;98.5;Non
RATP;Ventes et Validations;Disponibilité des lignes de péages;RER;;C01742;A;T2;2023;98.1;;98.5;Non
RATP;Ventes et Validations;Disponibilité des lignes de péages;RER;;C01742;A;T3;2023;98.0;;98.5;Non
RATP;Sûreté;Disponibilité des bornes d'appel voyageurs;RER;;C01742;A;T2;2023;99.5;;98.9;Non
RATP;Sûreté;Disponibilité des équipements de vidéoprotection et station/gare;RER;;C01743;B;T3;2023;98.0;;98.5;Non
RATP;Contact voyageurs;Sécurité, confort de conduite;Tramway;Tramway groupe 1;C01389;T1;T3;2023;100.0;;98.5;Oui
RATP;Sûreté;Disponibilité des bornes d'appel voyageurs;Tramway;Tramway groupe 1;C01389;T1;T1;2023;100.0;;98.5;Non
RATP;Sûreté;Disponibilité des bornes d'appel voyageurs;Tramway;Tramway groupe 1;C01389;T1;T2;2023;99.7;;98.5;Non
RATP;Sûreté;Disponibilité des bornes d'appel voyageurs;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T4;2023;100.0;;98.5;Non
RATP;Sûreté;Disponibilité des équipements de vidéoprotection et station/gare;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T1;2023;96.9;;96.0;Non
RATP;Sûreté;Disponibilité des équipements de vidéoprotection et station/gare;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T3;2023;94.4;;96.0;Non
RATP;Sûreté;Disponibilité des équipements de vidéoprotection et station/gare;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T4;2023;94.1;;94.0;Non
RATP;Ventes et Validations;Disponibilité des équipements de validations;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T2;2023;98.7;;98.0;Non
RATP;Information voyageurs;Information dynamique en situation normale à bord des véhicules;Tramway;Tramway groupe 1;C01389;T1;T1;2023;95.4;;95.0;Non
RATP;Information voyageurs;Information dynamique en situation normale à bord des véhicules;Tramway;Tramway groupe 1;C01389;T1;T3;2023;94.0;;95.0;Non
RATP;Information voyageurs;Information dynamique en situation normale aux points d'arrêts;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T1;2023;99.4;;99.0;Non
RATP;Information voyageurs;Information dynamique en situation normale aux points d'arrêts;Tramway;Tramway groupe 1;C01389;T1;T2;2023;96.0;;99.0;Non
RATP;Information voyageurs;Information dynamique en situation normale aux points d'arrêts;Tramway;Tramway groupe 1;C01389;T1;T4;2023;93.0;;99.0;Non
RATP;Information voyageurs;Information dynamique en situation normale aux points d'arrêts;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T4;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information en cas de grève;Tramway;Tramway groupe 1;C01389;T1;T1;2023;100.0;;95.0;Oui
RATP;Information voyageurs;Information en cas de grève;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T1;2023;100.0;;95.0;Oui
RATP;Information voyageurs;Information en cas de grève;Tramway;Tramway groupe 1;C01389;T1;T2;2023;100.0;;95.0;Oui
RATP;Information voyageurs;Information en cas de grève;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T2;2023;100.0;;95.0;Oui
RATP;Information voyageurs;Information en cas de grève;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T3;2023;;;95.0;Oui
RATP;Information voyageurs;Information en cas de grève;Tramway;Tramway groupe 1;C01389;T1;T4;2023;;;95.0;Oui
RATP;Information voyageurs;Information en cas de travaux;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T1;2023;100.0;;98.5;Non
RATP;Information voyageurs;Information en cas de travaux;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T4;2023;;;98.5;Non
RATP;Information voyageurs;Information en situation perturbée imprévue en station et à distance;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T3;2023;98.0;;96.0;Non
RATP;Information voyageurs;Information en situation perturbée imprévue en station et à distance;Tramway;Tramway groupe 1;C01389;T1;T4;2023;98.0;;75.0;Non
RATP;Information voyageurs;Information statique en situation normale à bord des véhicules;Tramway;Tramway groupe 1;C01389;T1;T1;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale à bord des véhicules;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T1;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale à bord des véhicules;Tramway;Tramway groupe 1;C01389;T1;T2;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale à bord des véhicules;Tramway;Tramway groupe 1;C01389;T1;T3;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale à bord des véhicules;Tramway;Tramway groupe 1;C01389;T1;T4;2023;100.0;;99.0;Non
RATP;Information voyageurs;Information statique en situation normale aux points d'arrêt;Tramway;Tramway groupe 1;C01389;T1;T3;2023;100.0;;99.5;Non
RATP;Propreté;Propreté des stations;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T1;2023;92.0;;96.5;Non
RATP;Propreté;Propreté des stations;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T2;2023;98.0;;98.0;Non
RATP;Propreté;Propreté des stations;Tramway;Tramway groupe 1;C01389;T1;T3;2023;93.8;;96.39999999999999;Non
RATP;Propreté;Propreté des véhicules;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T1;2023;100.0;;99.5;Non
RATP;Propreté;Propreté des véhicules;Tramway;Tramway groupe 2;C01390,C01391,C01679;T2,T3a,T3b;T2;2023;100.0;;99.5;Non
RATP;Propreté;Propreté des véhicules;Tramway;Tramway groupe 3;C01684,C01794,C01774,C01795;T5,T6,T7,T8;T4;2023;99.4;;99.5;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01729;E;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01737;L;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01741;U;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Tramtrain;;C01999;T11;T1;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01743;B;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;RER;;C01729;E;T2;2024;;;98.0;Non
SNCF;Information voyageurs;Information voyageurs  statique en situation normale en gare et station;Train;;C01738;N;T2;2024;;;98.0;Non
