operatorname;theme;indicator;transportmode;transportsubmode;id_line;name_line;trimester;year;percent_result;occurrence_result;target_reference_contract;penality
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Tramtrain;;C02344;T13;T3;2023;97.2222222222222;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01728;D;T4;2023;85.9;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;RER;;C01729;E;T4;2023;89.2;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01730;H;T4;2023;81.3;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Train;;C01739;P;T4;2023;90.3;;93.0;Non
SNCF;Contact voyageurs;Délai contact voyageurs en gare en 5 minutes et à distance en 1 minute;Tramtrain;;C02344;T13;T4;2023;75.0;;93.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01736;K;T1;2023;98.1902350680071;;98.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01737;L;T1;2023;97.84886516653899;;98.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01738;N;T1;2023;98.56807075159406;;98.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;RER;;C01729;E;T2;2023;97.89035522973425;;98.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01731;J;T2;2023;97.87094001750253;;98.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01737;L;T2;2023;98.19752870303662;;98.0;Non
SNCF;Elévatique;Disponibilité des escaliers mécaniques;Train;;C01739;P;T2;2023;97.27556956751482;;98.0;Non
